month,address,is_warning,reason
4,Vedenottamontie 12,0,0401
3,Vedenottamontie 9,0,0401
3,Vedenottamontie 10,0,0400
3,Pohjavedenkuja 5,0,0400
3,Pohjavedenkuja 5,0,0401
3,Iiluodontie 6,0,1501
3,Iiluodontie 6,0,1501
3,Havukuja 2,0,1501
3,Vedenottamontie 12,0,0401
3,Pohjavedenkatu 4,0,0401 2200
3,Pohjavedenkatu 8,0,1504 2200
3,Pohjavedenkatu 12,0,0401
3,Vedenottamontie 12,0,0401
3,Iiluodontie 6,0,1504
3,Iiluodontie 6,0,1504
3,Iiluodontie 6,1,1504
3,Vedenottamontie 12,0,0401
3,Vedenottamontie 12,0,0401
3,Vedenottamontie 12,0,0400
3,Vedenottamontie 10,0,0401
3,Hiekkajaalanranta 5,0,2705
3,Havukuja 2,0,1501
3,Hiekkalaiturintie 17,0,0905
3,Hiekkalaiturintie 17,0,0905
3,Hiekkalaiturintie 7,0,2301
3,Leikosaarenkuja 2,0,0905
3,Leikosaarenkuja 3,0,0905
3,Hiekkalaiturintie 15,0,0905
3,Hiekkalaiturintie 17,0,0905
3,Mustankivenkatu 2,0,0905
3,Leikosaarentie 24,1,1501
3,Hiekkajaalanranta 5,0,2301
3,Hiekkajaalanranta 5,0,0905
3,Hiekkajaalanranta 5,0,2705
3,Hiekkajaalanranta 5,0,2705
3,Vedenottamontie 8,0,0401
3,Vedenottamontie 12,0,0400
3,Pohjavedenkatu 2,0,0401
3,Pohjavedenkatu 2,0,0400
3,Vedenottamontie 12,0,0401
3,Iiluodontie 6,0,1504
3,Iiluodontie 6,0,1504
3,Iiluodontie 6,0,1504
3,Vedenottamontie 12,0,0400
3,Vedenottamontie 12,0,0400
3,Vedenottamontie 12,0,0400
3,Vedenottamontie 12,0,0400
3,Havukuja 2,0,1504
3,Havukuja 2,0,1504
3,Havukuja 1,0,1504
3,Hiekkajaalanranta 5,0,2301
3,Iiluodontie 6,0,1501
3,Kalkkihiekantie 10,0,1501
3,Kalkkihiekantie 10,0,0900
3,Kalkkihiekantie 10,0,2301
3,Kalkkihiekantie 3,0,0905
3,Kalkkihiekantie 3,0,0900
3,Kalkkihiekantie 1,0,2301
3,Kalkkihiekantie 3,0,0900
3,Leikosaarenkuja 2,0,0905
3,Havukuja 1,0,0900
3,Havukuja 3,0,0905
3,Havukuja 3,0,0905
3,Havukuja 1,0,0900
3,Leikosaarenraitti 0,0,1503
3,Kalkkihiekantie 1,0,1503
3,Vedenottamontie 5,0,0401
3,Vedenottamontie 12,0,0401
3,Vedenottamontie 12,0,0401
3,Vedenottamontie 12,0,0401
3,Vedenottamontie 12,0,0401
3,Kalkkihiekantie 1,0,1500
3,Kalkkihiekantie 1,0,1500
3,Vedenottamontie 9,0,0400
3,Kalkkihiekantie 3,0,1506
