month,address,is_warning,reason,coords
2,Kahvikuja 3,0,0400,60.2062365 25.1466499
2,Kahvikuja 3,0,0401,60.2062365 25.1466499
2,Kahvikuja 3,0,0401,60.2062365 25.1466499
2,Sokeritori (tori tai aukio) 0,0,0401,
2,Sokeritori (tori tai aukio) 0,0,1501,
2,Kauniinilmankuja 3,0,2301,60.2079302 25.1588696
2,Kauniinilmankuja 3,0,2301,60.2079302 25.1588696
2,Kauniinilmankuja 3,0,0905,60.2079302 25.1588696
2,Kahvikatu 1,0,0401,60.2054881 25.1475690
2,Kahvikatu 1,0,0401,60.2054881 25.1475690
2,Kahvikuja 3,0,0401,60.2062365 25.1466499
2,Kahvipavunkuja 3,0,1100,60.2054538 25.1507230
2,Sumukuja 2,0,0401,66.5291067 25.6559494
2,Kauniinilmankuja 3,0,0401 2200,60.2079302 25.1588696
2,Bertha Pauligin katu 6,0,0401,60.2056557 25.1472394
2,Bertha Pauligin katu 6,0,0401,60.2056557 25.1472394
2,Leikosaarentie 32,0,2103 1503,60.2044324 25.1483835
2,Bertha Pauligin katu 4,0,1501,60.2063296 25.1498974
2,Jauhajankuja 2 ,0,1100,60.2051964 25.1494568
2,Jauhajankuja 2 ,0,1100,60.2051964 25.1494568
2,Jauhajankuja 2 ,0,1100,60.2051964 25.1494568
2,Kahvipavunkuja 3 ,0,0400,60.2054538 25.1507230
2,Jauhajankuja 2 ,0,1100,60.2051964 25.1494568
2,Jauhajankuja 2 ,0,2300,60.2051964 25.1494568
2,Kahvikuja 3,0,0401,60.2062365 25.1466499
2,Bertha Pauligin katu 4,0,0400,60.2063296 25.1498974
2,Iiluodontie 1,0,1504,60.2043247 25.1461316
2,Iiluodontie 1,0,1504,60.2043247 25.1461316
2,Kahvikuja 3,0,0400,60.2062365 25.1466499
2,Iiluodontie 1,0,1504,60.2043247 25.1461316
2,Iiluodontie 1,0,1504,60.2043247 25.1461316
2,Kahvikuja 3,0,0400,60.2062365 25.1466499
2,Sokeritori (tori tai aukio) 0,0,0400,
2,Gustav Pauligin katu 6,0,0401,60.2061414 25.1519060
2,Kahvikatu 1,0,0401,60.2054881 25.1475690
2,Jauhajankuja 2,0,1100,60.2051964 25.1494568
2,Jauhajankuja 2,0,1100,60.2051964 25.1494568
2,Jauhajankuja 2,0,1100,60.2051964 25.1494568
2,Jauhajankuja 2,0,1100,60.2051964 25.1494568
1,Hellekuja 2,0,0905,60.2071329 25.1589241
1,Hellekuja 2,0,2301,60.2071329 25.1589241
1,Kahvipavunkuja 3,0,1100,60.2054538 25.1507230
1,Kahvipavunkuja 3,0,1100,60.2054538 25.1507230
1,Gustav Pauligin katu 20,0,0905,60.2025569 25.1537645
1,Solvikinkatu 6,0,0900,60.2025099 25.1538775
1,Gustav Pauligin katu 8,0,1506,60.2051683 25.1524226
1,Hellekuja 2,0,0905,60.2071329 25.1589241
1,Hellekuja 2,0,2301,60.2071329 25.1589241
1,Kahvipavunkuja 3,0,1100,60.2054538 25.1507230
1,Iiluodontie 1,0,1501,60.2043247 25.1461316
1,Iiluodontie 1,0,1501,60.2043247 25.1461316
1,Jauhajankuja 1,0,1100,60.2051964 25.1494568
1,Jauhajankuja 2,0,1100,60.2051964 25.1494568
1,Jauhajankuja 2,0,1100 0401,60.2051964 25.1494568
1,Bertha Pauligin katu 4,0,0400,60.2063296 25.1498974
1,Jauhajankuja 2,0,1100,60.2051964 25.1494568
1,Jauhajankuja 2,0,1100,60.2051964 25.1494568
1,Aurinkotuulenkatu 8,0,0900 3000,60.2065141 25.1591559
1,Kahvikatu 1,0,0905,60.2054881 25.1475690
1,Kahvikatu 1,0,2301,60.2054881 25.1475690
1,Solvikinkatu 6,0,2301,60.2025099 25.1538775
1,Solvikinkatu 6,0,2301,60.2025099 25.1538775
1,Solvikinkuja 4,0,2301,60.2034087 25.1581513
1,Aurinkotuulenkatu 17,0,2301,60.2039906 25.1585798
1,Aurinkotuulenkatu 14,0,2301,60.2051697 25.1580690
1,Aurinkotuulenkatu 7,0,0905,60.2062713 25.1577557
1,Aurinkotuulenkatu 7,0,0905,60.2062713 25.1577557
1,Aurinkotuulenkatu 7,0,0900,60.2062713 25.1577557
1,Aurinkotuulenkatu 5,0,0900,60.2068257 25.1578648
1,Aurinkotuulenkatu 5,0,0905,60.2068257 25.1578648
1,Solvikinkatu 6,0,0905,60.2025099 25.1538775
1,Solvikinkatu 6,0,2301 0900,60.2025099 25.1538775
1,Kahvipavunkuja 2,0,1100,60.2050394 25.1481976
1,Sokeritori (tori tai aukio) 0,0,0400,
1,Sokeritori (tori tai aukio) 0,0,0401,
1,Sokeritori (tori tai aukio) 0,0,0401,
1,Sokeritori (tori tai aukio) 0,0,0401,
1,Sokeritori (tori tai aukio) 0,0,0401,
1,Kahvikuja 3,0,0401,60.2062365 25.1466499
1,Kahvikuja 3,0,0401,60.2062365 25.1466499
1,Jauhajankuja 2,0,1100 2200,60.2051964 25.1494568
1,Jauhajankuja 2,0,1100,60.2051964 25.1494568
1,Leikosaarentie 34,0,1501,60.2046110 25.1504312
1,Kahvipavunkuja 4,0,1100,60.2051672 25.1482052
1,Aurinkotuulenkatu 8,0,0905,60.2065141 25.1591559
1,Aurinkotuulenkatu 6,0,0905,60.2068759 25.1582372
1,Aurinkotuulenkatu 1,0,2301,60.2081649 25.1572614
1,Aurinkotuulenkatu 1,0,0905,60.2081649 25.1572614
1,Aurinkotuulenkatu 1,1,0905,60.2081649 25.1572614
1,Hellekuja 2,0,2301,60.2071329 25.1589241
1,Aurinkotuulenkatu 11,0,0905,60.2050213 25.1577220
1,Aurinkotuulenkatu 17,0,2301,60.2039906 25.1585798
1,Sumukuja 1,0,0401,60.2053059 25.1585756
1,Kahvipavunkuja 4,0,1100,60.2051672 25.1482052
1,Jauhajankuja 2,0,1100,60.2051964 25.1494568
5,Leikosaarenkuja 1,0,1501,60.2025380 25.1380696
5,Vedenottamontie 12,0,0401,60.2032491 25.1395408
5,Havukuja 3,0,0401,60.2018078 25.1344228
5,Pohjavedenkuja 5,0,0401,60.2048878 25.1385844
5,Iiluodontie 6,1,1504,60.2050575 25.1453867
5,Vedenottamontie 8,0,0401,60.2039558 25.1391689
5,Vedenottamontie 8,0,0401,60.2039558 25.1391689
5,Leikosaarenkuja 3,0,0900,60.2022695 25.1382926
5,Leikosaarenkuja 2,0,0905,60.2025833 25.1384186
5,Leikosaarenkuja 4,0,0400,60.2023470 25.1386179
5,Vedenottamontie 12,0,0401,60.2032491 25.1395408
5,Hiekkajaalanranta 5,0,2301,60.1998618 25.1431799
5,Hiekkajaalanranta 5,0,0905,60.1998618 25.1431799
5,Kalkkihiekantie 10,0,0905,60.2001671 25.1416823
5,Kalkkihiekantie 10,0,0905,60.2001671 25.1416823
5,Kalkkihiekantie 10,0,0905,60.2001671 25.1416823
5,Hiekkajaalanranta 1,0,2301,60.2001274 25.1452679
5,Vedenottamontie 8,0,0401,60.2039558 25.1391689
5,Vedenottamontie 12,0,2001,60.2032491 25.1395408
5,Vedenottamontie 8,0,0401,60.2039558 25.1391689
5,Leikosaarenkuja 7,0,0905,60.2024183 25.1381411
5,Leikosaarenkuja 7,0,0905,60.2024183 25.1381411
5,Hiekkalaiturintie 17,0,1500,60.2006558 25.1451106
5,Vedenottamontie 12,0,0401,60.2032491 25.1395408
5,Iiluodontie 6,0,1504,60.2050575 25.1453867
5,Hiekkajaalanranta 1,0,0905,60.2001274 25.1452679
